# VELOCITY:     AVE_POFV:        ERROR:
    0.133333 0.000694444           0
         0.4    0.003125           0
    0.666667  0.00520833           0
    0.933333  0.00486111           0
         1.2  0.00555556           0
     1.46667   0.0354167           0
     1.73333    0.100347           0
           2    0.334722           0
     2.26667    0.554167           0
     2.53333     2.11215           0
         2.8    0.517014           0
     3.06667   0.0767361           0
     3.33333           0           0
         3.6           0           0
     3.86667           0           0
     4.13333           0           0
         4.4           0           0
     4.66667           0           0
     4.93333           0           0
         5.2           0           0
     5.46667           0           0
     5.73333           0           0
           6           0           0
     6.26667           0           0
     6.53333           0           0
         6.8           0           0
     7.06667           0           0
     7.33333           0           0
         7.6           0           0
     7.86667           0           0
    0.133333 0.000694444           0
         0.4  0.00399306 0.000613808
    0.666667   0.0265625   0.0150997
    0.933333   0.0223958   0.0123989
         1.2   0.0508681   0.0320408
     1.46667    0.126736   0.0645726
     1.73333    0.238715    0.097841
           2     0.40434   0.0492274
     2.26667     0.47066   0.0590483
     2.53333     1.34913    0.539537
         2.8    0.500521   0.0116624
     3.06667    0.365104    0.203907
     3.33333    0.129514   0.0915801
         3.6   0.0295139   0.0208695
     3.86667   0.0131944  0.00932988
     4.13333  0.00920139  0.00650636
         4.4  0.00503472  0.00356009
     4.66667  0.00381944  0.00270076
     4.93333           0           0
         5.2           0           0
     5.46667           0           0
     5.73333           0           0
           6           0           0
     6.26667           0           0
     6.53333           0           0
         6.8           0           0
     7.06667           0           0
     7.33333           0           0
         7.6           0           0
     7.86667           0           0
    0.133333 0.000925926 0.000189004
         0.4   0.0068287  0.00235118
    0.666667   0.0381944   0.0138396
    0.933333   0.0648148   0.0356077
         1.2    0.118634   0.0593109
     1.46667    0.202315   0.0752413
     1.73333    0.306134   0.0853511
           2    0.420833   0.0354737
     2.26667    0.436574     0.04821
     2.53333     1.02998    0.444167
         2.8    0.436227   0.0530684
     3.06667    0.347222     0.13672
     3.33333    0.177894    0.072718
         3.6   0.0684028    0.034667
     3.86667   0.0274306   0.0131833
     4.13333      0.0375   0.0235093
         4.4   0.0103009  0.00491137
     4.66667     0.00625  0.00267959
     4.93333  0.00914352  0.00746565
         5.2  0.00439815  0.00359107
     5.46667           0           0
     5.73333           0           0
           6           0           0
     6.26667           0           0
     6.53333           0           0
         6.8           0           0
     7.06667           0           0
     7.33333           0           0
         7.6           0           0
     7.86667           0           0
    0.133333  0.00104167 0.000173611
         0.4   0.0234375   0.0144913
    0.666667   0.0579861    0.020038
    0.933333   0.0863715    0.032584
         1.2    0.150347   0.0522784
     1.46667    0.240625   0.0654615
     1.73333    0.343316   0.0716559
           2    0.422917   0.0266664
     2.26667    0.409115   0.0432768
     2.53333    0.858941    0.364572
         2.8    0.408767   0.0463645
     3.06667    0.338368    0.102826
     3.33333    0.188715   0.0553379
         3.6   0.0834201   0.0290715
     3.86667   0.0552951   0.0260785
     4.13333   0.0461806   0.0191677
         4.4   0.0138889  0.00481908
     4.66667  0.00564236  0.00207745
     4.93333  0.00798611  0.00568825
         5.2  0.00407986  0.00270737
     5.46667  0.00217014   0.0018794
     5.73333  0.00138889  0.00120281
           6           0           0
     6.26667           0           0
     6.53333           0           0
         6.8           0           0
     7.06667           0           0
     7.33333           0           0
         7.6           0           0
     7.86667           0           0
    0.133333  0.00930556  0.00739275
         0.4   0.0382639   0.0176141
    0.666667   0.0808333   0.0259725
    0.933333    0.104306   0.0306072
         1.2    0.181458   0.0502341
     1.46667    0.256389   0.0542341
     1.73333    0.339444   0.0574292
           2    0.434722   0.0238033
     2.26667    0.392014   0.0378496
     2.53333    0.772639    0.301699
         2.8    0.375069   0.0477936
     3.06667    0.309792   0.0861403
     3.33333    0.206111    0.046925
         3.6    0.111319   0.0341115
     3.86667    0.060625   0.0214005
     4.13333   0.0447917   0.0153844
         4.4   0.0125694  0.00403185
     4.66667     0.00625  0.00174857
     4.93333  0.00694444    0.004645
         5.2  0.00430556  0.00217529
     5.46667  0.00173611  0.00155282
     5.73333  0.00111111 0.000993808
           6           0           0
     6.26667           0           0
     6.53333           0           0
         6.8           0           0
     7.06667           0           0
     7.33333           0           0
         7.6           0           0
     7.86667           0           0
    0.133333   0.0179398   0.0100039
         0.4   0.0441551   0.0156326
    0.666667   0.0978009   0.0266152
    0.933333    0.126562   0.0326093
         1.2    0.200579   0.0453548
     1.46667    0.273148   0.0477143
     1.73333    0.346065   0.0482378
           2    0.413773   0.0275534
     2.26667     0.38912   0.0316517
     2.53333     0.70706    0.258445
         2.8    0.373322   0.0398599
     3.06667    0.295081   0.0730289
     3.33333    0.221007    0.041401
         3.6    0.109028   0.0285031
     3.86667   0.0640046   0.0180987
     4.13333   0.0381366    0.014187
         4.4   0.0162616  0.00475905
     4.66667  0.00520833  0.00173996
     4.93333  0.00578704  0.00401244
         5.2  0.00358796  0.00192747
     5.46667  0.00144676   0.0013207
     5.73333 0.000925926 0.000845251
           6           0           0
     6.26667           0           0
     6.53333           0           0
         6.8           0           0
     7.06667           0           0
     7.33333           0           0
         7.6           0           0
     7.86667           0           0
    0.133333    0.015625  0.00883856
         0.4   0.0487103   0.0140474
    0.666667    0.103472   0.0234094
    0.933333    0.143204   0.0319161
         1.2    0.213244   0.0406055
     1.46667     0.29881   0.0472978
     1.73333    0.349008   0.0414363
           2    0.403522   0.0254529
     2.26667     0.38879   0.0271318
     2.53333    0.670337    0.224118
         2.8    0.376736   0.0343116
     3.06667    0.291716   0.0626737
     3.33333    0.215079   0.0359084
         3.6    0.105258   0.0246793
     3.86667   0.0583829   0.0163629
     4.13333   0.0390873   0.0121921
         4.4   0.0144841  0.00439861
     4.66667  0.00446429   0.0016428
     4.93333  0.00496032  0.00352337
         5.2   0.0030754  0.00171892
     5.46667  0.00124008  0.00114809
     5.73333 0.000793651 0.000734778
           6           0           0
     6.26667           0           0
     6.53333           0           0
         6.8           0           0
     7.06667           0           0
     7.33333           0           0
         7.6           0           0
     7.86667           0           0
    0.133333   0.0136719  0.00794661
         0.4   0.0579427   0.0150221
    0.666667   0.0999132    0.020752
    0.933333    0.149523   0.0285451
         1.2    0.222656   0.0366044
     1.46667    0.313281   0.0435433
     1.73333    0.360764   0.0378878
           2    0.408681   0.0227881
     2.26667    0.390625   0.0238023
     2.53333    0.650043     0.19702
         2.8    0.368924   0.0308992
     3.06667    0.292057   0.0548404
     3.33333    0.204905   0.0328297
         3.6   0.0997396   0.0222028
     3.86667   0.0532986   0.0150868
     4.13333   0.0369792   0.0108488
         4.4   0.0142795  0.00385354
     4.66667  0.00390625  0.00152929
     4.93333  0.00434028  0.00313703
         5.2  0.00269097  0.00154644
     5.46667  0.00108507  0.00101499
     5.73333 0.000694444 0.000649593
           6           0           0
     6.26667           0           0
     6.53333           0           0
         6.8           0           0
     7.06667           0           0
     7.33333           0           0
         7.6           0           0
     7.86667           0           0
    0.133333   0.0148148  0.00714537
         0.4   0.0572531   0.0133688
    0.666667    0.107176   0.0196762
    0.933333    0.149151   0.0253758
         1.2    0.242323   0.0374495
     1.46667    0.327122   0.0408456
     1.73333    0.362654   0.0337251
           2    0.418056   0.0221005
     2.26667    0.388002   0.0213017
     2.53333    0.634452    0.175745
         2.8    0.361651   0.0283089
     3.06667    0.288889   0.0488384
     3.33333    0.193789   0.0310068
         3.6   0.0965664   0.0199613
     3.86667   0.0473765   0.0145264
     4.13333   0.0367284  0.00964626
         4.4   0.0126929  0.00373775
     4.66667  0.00347222  0.00141963
     4.93333  0.00385802   0.0028253
         5.2  0.00239198  0.00140322
     5.46667 0.000964506 0.000909345
     5.73333 0.000617284 0.000581981
           6           0           0
     6.26667           0           0
     6.53333           0           0
         6.8           0           0
     7.06667           0           0
     7.33333           0           0
         7.6           0           0
     7.86667           0           0
    0.133333   0.0168056  0.00670241
         0.4   0.0523958   0.0128841
    0.666667    0.121701   0.0224384
    0.933333    0.151458   0.0229429
         1.2    0.249479   0.0343815
     1.46667    0.346632   0.0411577
     1.73333    0.369132   0.0309685
           2    0.425417   0.0210808
     2.26667    0.386875   0.0192013
     2.53333    0.614167    0.159337
         2.8     0.35684   0.0258836
     3.06667    0.276181   0.0455781
     3.33333    0.185625   0.0289609
         3.6   0.0957639   0.0179813
     3.86667   0.0434028   0.0136064
     4.13333   0.0365278  0.00868372
         4.4   0.0114236    0.003573
     4.66667    0.003125  0.00131944
     4.93333  0.00347222  0.00256898
         5.2  0.00215278  0.00128313
     5.46667 0.000868056  0.00082351
     5.73333 0.000555556 0.000527046
           6           0           0
     6.26667           0           0
     6.53333           0           0
         6.8           0           0
     7.06667           0           0
     7.33333           0           0
         7.6           0           0
     7.86667           0           0
    0.133333   0.0208965  0.00723464
         0.4   0.0509154   0.0117976
    0.666667    0.127431   0.0211173
    0.933333    0.160322   0.0225043
         1.2    0.253598   0.0315017
     1.46667    0.348706   0.0374683
     1.73333    0.394823   0.0373181
           2    0.426199   0.0191789
     2.26667    0.379735   0.0187363
     2.53333    0.598074    0.145662
         2.8    0.357418   0.0235369
     3.06667    0.265467   0.0426751
     3.33333     0.17661   0.0276957
         3.6   0.0928662   0.0165785
     3.86667   0.0409407   0.0125903
     4.13333    0.034596  0.00810633
         4.4   0.0121528  0.00332175
     4.66667  0.00284091   0.0012297
     4.93333  0.00315657  0.00235474
         5.2  0.00195707  0.00118131
     5.46667 0.000789141 0.000752417
     5.73333 0.000505051 0.000481547
           6           0           0
     6.26667           0           0
     6.53333           0           0
         6.8           0           0
     7.06667           0           0
     7.33333           0           0
         7.6           0           0
     7.86667           0           0
    0.133333   0.0250579  0.00773656
         0.4   0.0510706   0.0108154
    0.666667    0.128472   0.0193832
    0.933333    0.171528   0.0232521
         1.2    0.252691   0.0288897
     1.46667    0.348032    0.034352
     1.73333    0.410966   0.0375378
           2    0.439959    0.021969
     2.26667    0.375955   0.0175521
     2.53333    0.576273    0.135145
         2.8    0.352373   0.0221097
     3.06667    0.265943   0.0391215
     3.33333    0.171904   0.0257844
         3.6   0.0868345   0.0162572
     3.86667   0.0387153   0.0117361
     4.13333   0.0333333  0.00752849
         4.4   0.0124132  0.00305513
     4.66667  0.00260417  0.00114979
     4.93333  0.00289352  0.00217316
         5.2  0.00179398  0.00109407
     5.46667  0.00072338 0.000692583
     5.73333 0.000462963 0.000443253
           6           0           0
     6.26667           0           0
     6.53333           0           0
         6.8           0           0
     7.06667           0           0
     7.33333           0           0
         7.6           0           0
     7.86667           0           0
    0.133333    0.023985  0.00721544
         0.4   0.0547009   0.0105752
    0.666667    0.130395   0.0179873
    0.933333    0.176442   0.0219767
         1.2    0.258467   0.0272387
     1.46667    0.347409   0.0317152
     1.73333    0.427484   0.0381115
           2    0.444017   0.0206504
     2.26667    0.377324   0.0162552
     2.53333    0.557719    0.126017
         2.8    0.339957   0.0236391
     3.06667    0.270299   0.0363539
     3.33333    0.167682   0.0241442
         3.6   0.0844551   0.0151797
     3.86667   0.0369391   0.0109669
     4.13333   0.0334402  0.00695013
         4.4   0.0114583  0.00296559
     4.66667  0.00240385  0.00107865
     4.93333  0.00267094  0.00201736
         5.2  0.00165598  0.00101857
     5.46667 0.000667735 0.000641539
     5.73333  0.00042735 0.000410585
           6           0           0
     6.26667           0           0
     6.53333           0           0
         6.8           0           0
     7.06667           0           0
     7.33333           0           0
         7.6           0           0
     7.86667           0           0
    0.133333   0.0222718  0.00690045
         0.4   0.0540427   0.0098403
    0.666667     0.13244   0.0168184
    0.933333    0.181523    0.020986
         1.2    0.262078   0.0255313
     1.46667    0.353571   0.0300425
     1.73333    0.443676   0.0386761
           2    0.440377   0.0194936
     2.26667    0.378224   0.0151191
     2.53333    0.546726    0.117494
         2.8    0.333879   0.0227187
     3.06667    0.268229    0.033816
     3.33333    0.164757   0.0225961
         3.6   0.0824653   0.0142253
     3.86667   0.0343006   0.0104962
     4.13333   0.0335317   0.0064543
         4.4   0.0106399  0.00286447
     4.66667  0.00223214  0.00101518
     4.93333  0.00248016  0.00188226
         5.2   0.0015377 0.000952661
     5.46667  0.00062004 0.000597485
     5.73333 0.000396825 0.000382391
           6           0           0
     6.26667           0           0
     6.53333           0           0
         6.8           0           0
     7.06667           0           0
     7.33333           0           0
         7.6           0           0
     7.86667           0           0
    0.133333    0.020787  0.00659823
         0.4   0.0533102   0.0092115
    0.666667     0.13787   0.0165505
    0.933333    0.185394   0.0199407
         1.2    0.264375   0.0239323
     1.46667    0.365579   0.0303444
     1.73333    0.453773   0.0373926
           2    0.436759   0.0185266
     2.26667    0.375903   0.0142882
     2.53333    0.530648    0.110756
         2.8    0.328079    0.021932
     3.06667    0.267731   0.0315653
     3.33333     0.16787   0.0213031
         3.6   0.0778009   0.0140208
     3.86667   0.0320833   0.0100279
     4.13333   0.0347917  0.00614575
         4.4    0.010463  0.00267897
     4.66667  0.00208333 0.000958345
     4.93333  0.00231481  0.00176402
         5.2  0.00143519 0.000894649
     5.46667 0.000578704 0.000559081
     5.73333  0.00037037 0.000357812
           6           0           0
     6.26667           0           0
     6.53333           0           0
         6.8           0           0
     7.06667           0           0
     7.33333           0           0
         7.6           0           0
     7.86667           0           0
    0.133333   0.0222439  0.00634464
         0.4   0.0536675  0.00864271
    0.666667    0.136827   0.0155489
    0.933333    0.193967   0.0204546
         1.2    0.269227   0.0229232
     1.46667    0.374523   0.0297368
     1.73333    0.458095   0.0353044
           2    0.433984   0.0175753
     2.26667    0.375955   0.0133953
     2.53333    0.519162    0.104427
         2.8    0.324392   0.0208688
     3.06667    0.263411   0.0298866
     3.33333    0.167166   0.0199833
         3.6   0.0752821   0.0133688
     3.86667   0.0302517  0.00956693
     4.13333   0.0334201   0.0059127
         4.4    0.012066  0.00295243
     4.66667  0.00195312  0.00090725
     4.93333  0.00217014   0.0016597
         5.2  0.00134549 0.000843218
     5.46667 0.000542535 0.000525307
     5.73333 0.000347222 0.000336196
           6           0           0
     6.26667           0           0
     6.53333           0           0
         6.8           0           0
     7.06667           0           0
     7.33333           0           0
         7.6           0           0
     7.86667           0           0
    0.133333   0.0232843  0.00605613
         0.4    0.052308  0.00824055
    0.666667    0.138644     0.01474
    0.933333    0.196038   0.0193559
         1.2    0.282026   0.0248926
     1.46667     0.37694   0.0280857
     1.73333    0.460641   0.0333194
           2    0.435233   0.0165858
     2.26667    0.374101   0.0127349
     2.53333    0.509988   0.0986866
         2.8     0.32498   0.0196494
     3.06667    0.255065   0.0292708
     3.33333    0.168035   0.0188267
         3.6   0.0722018   0.0129324
     3.86667   0.0296773   0.0090214
     4.13333   0.0314542  0.00588264
         4.4   0.0133987  0.00306482
     4.66667  0.00183824 0.000861127
     4.93333  0.00204248  0.00156697
         5.2  0.00126634 0.000797323
     5.46667 0.000510621 0.000495375
     5.73333 0.000326797  0.00031704
           6           0           0
     6.26667           0           0
     6.53333           0           0
         6.8           0           0
     7.06667           0           0
     7.33333           0           0
         7.6           0           0
     7.86667           0           0
    0.133333   0.0240162  0.00576373
         0.4   0.0495177  0.00824161
    0.666667    0.140066   0.0139895
    0.933333    0.202373   0.0192895
         1.2    0.286651   0.0239355
     1.46667    0.382677    0.027105
     1.73333    0.460513   0.0314686
           2    0.441319   0.0167439
     2.26667    0.371431   0.0123042
     2.53333     0.50108   0.0936051
         2.8    0.326775   0.0186396
     3.06667    0.248573   0.0283556
     3.33333    0.166493   0.0178438
         3.6   0.0717593   0.0122215
     3.86667   0.0282022  0.00863998
     4.13333    0.029784   0.0057881
         4.4   0.0128665   0.0029404
     4.66667  0.00198688 0.000826016
     4.93333  0.00192901  0.00148402
         5.2  0.00119599 0.000756125
     5.46667 0.000482253 0.000468666
     5.73333 0.000308642 0.000299946
           6           0           0
     6.26667           0           0
     6.53333           0           0
         6.8           0           0
     7.06667           0           0
     7.33333           0           0
         7.6           0           0
     7.86667           0           0
    0.133333   0.0238487  0.00546281
         0.4   0.0476425  0.00801833
    0.666667    0.140296   0.0132551
    0.933333    0.211513   0.0203248
         1.2    0.287646   0.0226964
     1.46667     0.38549   0.0258239
     1.73333    0.464784   0.0301008
           2    0.441868   0.0158717
     2.26667    0.375073   0.0121836
     2.53333     0.49364   0.0889737
         2.8    0.325932   0.0176776
     3.06667    0.247222   0.0268953
     3.33333    0.163067   0.0172305
         3.6   0.0687683   0.0119387
     3.86667   0.0272113  0.00824187
     4.13333   0.0282164  0.00569178
         4.4   0.0121893  0.00286256
     4.66667  0.00188231 0.000789133
     4.93333  0.00182749  0.00140938
         5.2  0.00113304 0.000718944
     5.46667 0.000456871 0.000444686
     5.73333 0.000292398 0.000284599
           6           0           0
     6.26667           0           0
     6.53333           0           0
         6.8           0           0
     7.06667           0           0
     7.33333           0           0
         7.6           0           0
     7.86667           0           0
    0.133333    0.022691  0.00531093
         0.4    0.048941  0.00772183
    0.666667    0.138351   0.0127343
    0.933333    0.218264   0.0203989
         1.2    0.294549   0.0225868
     1.46667    0.388576   0.0247165
     1.73333    0.461632   0.0287604
           2    0.448316   0.0163355
     2.26667    0.373906   0.0116302
     2.53333    0.483316   0.0851219
         2.8    0.331146   0.0175458
     3.06667    0.246285   0.0255669
     3.33333    0.158854   0.0168761
         3.6   0.0656076   0.0117527
     3.86667   0.0258681  0.00793847
     4.13333   0.0268056   0.0055793
         4.4   0.0115799  0.00278355
     4.66667  0.00178819 0.000755268
     4.93333  0.00173611  0.00134187
         5.2  0.00107639 0.000685225
     5.46667 0.000434028 0.000423038
     5.73333 0.000277778 0.000270744
           6           0           0
     6.26667           0           0
     6.53333           0           0
         6.8           0           0
     7.06667           0           0
     7.33333           0           0
         7.6           0           0
     7.86667           0           0
    0.133333   0.0216104  0.00516677
         0.4   0.0506118  0.00753271
    0.666667    0.139319   0.0121647
    0.933333    0.217245   0.0194529
         1.2    0.305522   0.0240297
     1.46667    0.390807   0.0236399
     1.73333    0.457209   0.0277288
           2    0.456465   0.0174724
     2.26667    0.372801   0.0111287
     2.53333    0.477447   0.0812706
         2.8    0.331845   0.0167242
     3.06667    0.245883   0.0243526
     3.33333    0.152877   0.0170982
         3.6   0.0635582   0.0113703
     3.86667   0.0251819  0.00759005
     4.13333   0.0255291  0.00545768
         4.4   0.0110284  0.00270507
     4.66667  0.00170304 0.000724087
     4.93333  0.00165344  0.00128051
         5.2  0.00102513  0.00065451
     5.46667  0.00041336 0.000403398
     5.73333  0.00026455 0.000258175
           6           0           0
     6.26667           0           0
     6.53333           0           0
         6.8           0           0
     7.06667           0           0
     7.33333           0           0
         7.6           0           0
     7.86667           0           0
    0.133333   0.0206282  0.00502443
         0.4    0.050726  0.00719118
    0.666667    0.139015   0.0116155
    0.933333    0.219176   0.0186643
         1.2    0.311458   0.0236592
     1.46667     0.39708    0.023383
     1.73333    0.456424   0.0264795
           2    0.456897   0.0166835
     2.26667    0.374211   0.0107118
     2.53333    0.474795   0.0776197
         2.8     0.32792   0.0164182
     3.06667    0.247617   0.0233073
     3.33333    0.149621   0.0166281
         3.6   0.0606692   0.0112145
     3.86667   0.0240372  0.00733085
     4.13333   0.0243687  0.00533154
         4.4   0.0105271  0.00262815
     4.66667  0.00162563   0.0006953
     4.93333  0.00157828  0.00122451
         5.2 0.000978535 0.000626416
     5.46667 0.000394571 0.000385499
     5.73333 0.000252525 0.000246719
           6           0           0
     6.26667           0           0
     6.53333           0           0
         6.8           0           0
     7.06667           0           0
     7.33333           0           0
         7.6           0           0
     7.86667           0           0
    0.133333   0.0200936  0.00483433
         0.4   0.0529589  0.00721687
    0.666667     0.13981   0.0111377
    0.933333    0.221935   0.0180556
         1.2    0.314734   0.0228562
     1.46667    0.397147   0.0223664
     1.73333    0.457412   0.0253467
           2    0.459843   0.0162162
     2.26667    0.380103   0.0117553
     2.53333    0.466561   0.0746804
         2.8    0.327883   0.0157044
     3.06667    0.244626    0.022485
     3.33333    0.145637   0.0163755
         3.6   0.0597826   0.0107619
     3.86667   0.0234752  0.00703362
     4.13333   0.0233092  0.00520395
         4.4   0.0100694  0.00255343
     4.66667  0.00155495 0.000668652
     4.93333  0.00150966  0.00117319
         5.2  0.00093599 0.000600623
     5.46667 0.000377415  0.00036912
     5.73333 0.000241546 0.000236237
           6           0           0
     6.26667           0           0
     6.53333           0           0
         6.8           0           0
     7.06667           0           0
     7.33333           0           0
         7.6           0           0
     7.86667           0           0
    0.133333   0.0192564  0.00470484
