#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     2.00941     2.00941           0
           2     1.63022     1.81981    0.134063
           3     1.48836     1.70933    0.126987
           4      1.4209     1.63722    0.113888
           5     1.35628     1.58103    0.104052
           6     1.35339     1.54309   0.0933709
           7     1.35182     1.51577   0.0839353
           8     1.37377     1.49802   0.0752968
           9     1.34387     1.48089   0.0688509
          10      1.3438     1.46718   0.0633159
          11     1.34488     1.45606   0.0585279
          12     1.36469     1.44845   0.0541436
          13     1.36702     1.44218   0.0503398
          14     1.32528     1.43383   0.0474316
          15     1.35348     1.42848    0.044571
          16     1.35913     1.42414   0.0419955
          17     1.33564     1.41894   0.0398466
          18     1.30603     1.41266   0.0381234
          19     1.34612     1.40916   0.0362774
          20     1.32349     1.40488   0.0347155
          21     1.31682     1.40068   0.0333147
          22     1.31308      1.3967   0.0320375
          23     1.31295     1.39306   0.0308508
          24      1.3146     1.38979   0.0297381
          25     1.31536     1.38681   0.0286972
          26     1.33934     1.38499   0.0276515
          27     1.34648     1.38356   0.0266641
          28     1.32829     1.38159   0.0257848
          29     1.34249     1.38024   0.0249309
          30     1.31477     1.37806   0.0241952
          31     1.34849      1.3771   0.0234335
          32     1.36444     1.37671   0.0227045
          33     1.34491     1.37574    0.022037
          34     1.33627     1.37458   0.0214194
          35      1.3182     1.37297   0.0208679
          36     1.34166      1.3721   0.0203063
          37     1.37072     1.37207   0.0197576
          38     1.35439      1.3716   0.0192431
          39     1.33411     1.37064   0.0187737
          40     1.32797     1.36957   0.0183346
          41     1.32797     1.36856   0.0179155
          42     1.34349     1.36796   0.0174989
          43     1.31877     1.36682   0.0171293
          44     1.31464     1.36563    0.016781
          45     1.32458     1.36472   0.0164328
          46     1.33392     1.36405   0.0160892
          47     1.33171     1.36336   0.0157616
          48     1.34833     1.36305   0.0154364
          49     1.38494     1.36349   0.0151278
          50     1.36275     1.36348   0.0148252
          51     1.34294     1.36308     0.01454
          52     1.29012     1.36167   0.0143279
          53      1.3338     1.36115   0.0140672
          54     1.31722     1.36033   0.0138302
          55     1.30341      1.3593   0.0136175
          56     1.32695     1.35872   0.0133865
          57     1.30868     1.35784   0.0131804
          58     1.32206     1.35723   0.0129676
          59      1.3305     1.35677   0.0127557
          60      1.3544     1.35673   0.0125432
          61     1.36807     1.35692    0.012339
          62     1.34185     1.35668   0.0121423
          63     1.35396     1.35663   0.0119497
          64     1.36715      1.3568   0.0117641
          65     1.34449     1.35661   0.0115846
          66     1.35103     1.35652   0.0114094
          67      1.3252     1.35606   0.0112487
          68     1.32195     1.35556   0.0110945
          69     1.30308     1.35479   0.0109597
          70     1.35351     1.35478   0.0108031
          71     1.35531     1.35478    0.010651
          72     1.32783     1.35441   0.0105096
          73      1.3641     1.35454   0.0103665
          74     1.36304     1.35466   0.0102271
          75     1.34565     1.35454   0.0100914
          76     1.36031     1.35461  0.00995891
          77     1.36681     1.35477  0.00983083
          78     1.35915     1.35483  0.00970495
          79      1.3094     1.35425  0.00959912
          80     1.28662     1.35341  0.00951629
          81     1.32118     1.35301  0.00940712
          82     1.38165     1.35336  0.00929887
          83     1.38796     1.35378  0.00919618
          84     1.32821     1.35347  0.00909174
          85     1.30168     1.35286  0.00900517
          86      1.3091     1.35235  0.00891482
          87      1.2925     1.35166  0.00883886
          88     1.33156     1.35144  0.00874137
          89     1.31599     1.35104  0.00865222
          90     1.30809     1.35056  0.00856923
          91     1.29501     1.34995  0.00849678
          92     1.27525     1.34914  0.00844313
          93     1.30583     1.34867  0.00836518
          94     1.27953     1.34794  0.00830847
          95     1.33317     1.34778  0.00822246
          96     1.29679     1.34725  0.00815395
          97     1.28756     1.34664  0.00809308
          98      1.2908     1.34607  0.00803052
          99     1.32786     1.34588  0.00795151
         100     1.35751       1.346  0.00787284
