#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.395103   -0.395103           0
           2   -0.410343   -0.402723  0.00538802
           3   -0.405941   -0.403796  0.00369728
           4   -0.421751   -0.408284  0.00477506
           5   -0.449121   -0.416452  0.00824353
           6   -0.469312   -0.425262    0.010577
           7    -0.43823   -0.427114  0.00922685
           8   -0.420392   -0.426274  0.00811166
           9   -0.395209   -0.422822  0.00791071
          10   -0.382702    -0.41881  0.00807317
          11   -0.365335   -0.413949   0.0086804
          12   -0.407533   -0.413414  0.00797348
          13   -0.431189   -0.414782  0.00747645
          14   -0.414668   -0.414774  0.00694242
          15   -0.465316   -0.418143  0.00725134
          16   -0.443606   -0.419734  0.00697057
          17   -0.407552   -0.419018  0.00659727
          18   -0.422371   -0.419204  0.00623338
          19   -0.409644   -0.418701  0.00592558
          20   -0.422836   -0.418908  0.00563291
          21   -0.417982   -0.418864  0.00536485
          22   -0.432768   -0.419496  0.00515809
          23   -0.463075    -0.42139  0.00527035
          24   -0.454074   -0.422752  0.00522374
          25   -0.449999   -0.423842  0.00512722
          26   -0.493222   -0.426511  0.00558138
          27   -0.490334   -0.428874  0.00585387
          28   -0.480818    -0.43073  0.00593147
          29    -0.47866   -0.432382  0.00595276
          30   -0.478638   -0.433924  0.00595067
          31   -0.467413   -0.435004  0.00585595
          32   -0.468989   -0.436066  0.00576844
          33   -0.487914   -0.437638  0.00580367
          34   -0.469732   -0.438582  0.00570922
          35     -0.4385   -0.438579   0.0055461
          36   -0.411811   -0.437836  0.00544166
          37   -0.406517   -0.436989  0.00536002
          38   -0.394995   -0.435884  0.00533167
          39   -0.375434   -0.434334  0.00541559
          40   -0.387256   -0.433157  0.00540658
          41   -0.401147   -0.432376  0.00533078
          42   -0.405115   -0.431727  0.00524322
          43   -0.413043   -0.431293  0.00513926
          44   -0.443416   -0.431568  0.00502984
          45   -0.433355   -0.431608  0.00491822
          46   -0.455932   -0.432137  0.00483965
          47   -0.443495   -0.432378   0.0047427
          48   -0.463949   -0.433036  0.00468928
          49   -0.446186   -0.433305  0.00460126
          50   -0.429673   -0.433232   0.0045098
          51   -0.440526   -0.433375  0.00442364
          52   -0.399937   -0.432732  0.00438506
          53   -0.440109   -0.432871  0.00430453
          54   -0.433098   -0.432875  0.00422482
          55   -0.411869   -0.432493  0.00416524
          56   -0.440573   -0.432638  0.00409335
          57   -0.442644   -0.432813   0.0040253
          58   -0.456454   -0.433221  0.00397649
          59   -0.456994   -0.433624  0.00392945
          60   -0.456051   -0.433998   0.0038817
          61   -0.473219   -0.434641  0.00387095
          62   -0.472078   -0.435244  0.00385532
          63    -0.48558   -0.436043  0.00387603
          64   -0.521406   -0.437377  0.00403844
          65   -0.549966   -0.439109  0.00433188
          66   -0.539586   -0.440632  0.00452585
          67   -0.565074   -0.442489  0.00482439
          68   -0.568286   -0.444339   0.0050958
          69    -0.58857   -0.446429  0.00543379
          70   -0.586378   -0.448428  0.00571213
          71   -0.639654   -0.451122  0.00623438
          72   -0.643017   -0.453787  0.00669328
          73   -0.650254   -0.456478  0.00712215
          74    -0.64338   -0.459004  0.00746032
          75   -0.677069   -0.461912  0.00790716
          76   -0.620847   -0.464003  0.00807492
          77   -0.620228   -0.466032  0.00822099
          78   -0.626141   -0.468084  0.00836793
          79   -0.614466   -0.469937  0.00846468
          80   -0.629327    -0.47193  0.00859015
          81   -0.645751   -0.474076  0.00874803
          82   -0.681811   -0.476609   0.0090007
          83   -0.719721   -0.479538  0.00935672
          84   -0.783835   -0.483161  0.00992184
          85   -0.826905   -0.487205   0.0105973
          86   -0.886503   -0.491848   0.0114461
          87   -0.943573    -0.49704   0.0124365
          88   -0.949566   -0.502182    0.013316
          89    -1.01139   -0.507904    0.014343
          90    -1.06768   -0.514123   0.0154735
          91    -1.12225   -0.520806   0.0166843
          92    -1.20278   -0.528219   0.0180748
          93    -1.36298   -0.537195   0.0199853
          94     -1.4207   -0.546594   0.0218714
          95    -1.47399   -0.556356     0.02372
          96    -1.52859   -0.566483   0.0255435
          97    -1.61163   -0.577258   0.0274588
          98    -1.63298   -0.588031   0.0292155
          99    -1.38611   -0.596092    0.030012
         100     -1.4901   -0.605032   0.0310148
