#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.32793     1.32793           0
           2      1.3379     1.33292    0.003527
           3     1.33559     1.33381  0.00246145
           4     1.34491     1.33658  0.00303106
           5     1.36371     1.34201   0.0054238
           6     1.37762     1.34794  0.00705605
           7     1.35697     1.34923  0.00616466
           8      1.3452     1.34873  0.00541461
           9     1.32824     1.34645  0.00526971
          10      1.3199      1.3438  0.00537024
          11     1.30815     1.34056  0.00577754
          12     1.33565     1.34015   0.0053105
          13     1.35242     1.34109  0.00498516
          14     1.34015     1.34103  0.00462953
          15     1.37476     1.34328  0.00483651
          16     1.36076     1.34437  0.00465608
          17     1.33649      1.3439  0.00440519
          18     1.34586     1.34401  0.00416179
          19     1.33788     1.34369  0.00395523
          20     1.34658     1.34383   0.0037601
          21     1.34293     1.34379   0.0035813
          22     1.35305     1.34421  0.00344315
          23     1.37301     1.34546  0.00351371
          24     1.36749     1.34638  0.00348508
          25     1.36433      1.3471  0.00341885
          26     1.39309     1.34887   0.0037169
          27     1.39136     1.35044  0.00389813
          28     1.38489     1.35167  0.00394831
          29     1.38445      1.3528  0.00397061
          30     1.38309     1.35381  0.00396454
          31     1.37625     1.35454  0.00390217
          32     1.37687     1.35523  0.00384214
          33     1.39018     1.35629  0.00386892
          34     1.37733     1.35691  0.00380429
          35     1.35799     1.35694  0.00369572
          36     1.33872     1.35644  0.00362758
          37      1.3356     1.35587  0.00357299
          38     1.32795     1.35514  0.00355374
          39     1.31496     1.35411  0.00360886
          40     1.32233     1.35331    0.003605
          41     1.33172     1.35279  0.00355536
          42     1.33442     1.35235  0.00349748
          43     1.33931     1.35205  0.00342927
          44     1.36005     1.35223  0.00335615
          45     1.35334     1.35225  0.00328166
          46     1.36824      1.3526  0.00322866
          47     1.36072     1.35277  0.00316459
          48     1.37322      1.3532  0.00312718
          49     1.36281      1.3534  0.00306951
          50     1.35008     1.35333  0.00300883
          51     1.35834     1.35343  0.00295144
          52     1.33131       1.353  0.00292516
          53     1.35726     1.35308  0.00287107
          54      1.3536     1.35309  0.00281792
          55     1.33931     1.35284  0.00277781
          56     1.35739     1.35292  0.00272939
          57     1.35953     1.35304  0.00268397
          58     1.36878     1.35331  0.00265138
          59     1.36934     1.35358  0.00262032
          60     1.36795     1.35382  0.00258758
          61     1.37979     1.35425  0.00257995
          62     1.37862     1.35464  0.00256812
          63     1.38764     1.35516  0.00258022
          64     1.41262     1.35606  0.00269153
          65      1.4307     1.35721  0.00288467
          66     1.42399     1.35822   0.0030132
          67      1.4407     1.35945  0.00320984
          68      1.4432     1.36068  0.00339068
          69      1.4571     1.36208  0.00361802
          70     1.45461      1.3634  0.00380012
          71     1.49028     1.36519  0.00414551
          72     1.49334     1.36697  0.00445366
          73     1.49696     1.36875   0.0047353
          74     1.49326     1.37043  0.00496125
          75     1.51573     1.37237  0.00525978
          76     1.47838     1.37377  0.00537234
          77     1.47744     1.37511  0.00546868
          78     1.48159     1.37648  0.00556634
          79     1.47357     1.37771  0.00562992
          80     1.48304     1.37902  0.00571144
          81     1.49416     1.38044  0.00581511
          82     1.51729     1.38211  0.00597888
          83     1.54272     1.38405  0.00621207
          84      1.5853     1.38644  0.00658394
          85     1.61392     1.38912  0.00702935
          86     1.65269     1.39218  0.00758637
          87     1.69261     1.39564  0.00824772
          88     1.69397     1.39903  0.00882326
          89     1.73615     1.40282   0.0095025
          90     1.77339     1.40693   0.0102502
          91     1.81049     1.41137   0.0110554
          92     1.86098     1.41626   0.0119667
          93     1.96786     1.42219   0.0132265
          94     2.00735     1.42841   0.0144768
          95     2.04388     1.43489   0.0157073
          96     2.07833     1.44159   0.0169134
          97     2.13319     1.44872   0.0181798
          98     2.15341     1.45591   0.0193642
          99     1.98118     1.46122   0.0198822
         100     2.05726     1.46718   0.0205575
