#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     1.01381     1.01381           0
           2     1.40623     1.21002    0.138742
           3      1.4479     1.28932    0.112902
           4     1.32591     1.29846    0.085046
           5     1.44077     1.32692    0.072643
           6     1.51397      1.3581   0.0668915
           7     1.38264      1.3616   0.0574273
           8      1.3134     1.35558   0.0505641
           9     1.47808     1.36919   0.0467419
          10     1.36223     1.36849   0.0420729
