#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.75315     1.75315           0
           2     1.67867     1.71591   0.0263328
           3     1.69349     1.70843   0.0185848
           4     1.67001     1.69883   0.0162327
           5     1.68196     1.69545   0.0133321
           6      1.6515     1.68813   0.0129672
           7     1.66862     1.68534   0.0114103
           8     1.65366     1.68138    0.010649
           9     1.60838     1.67327   0.0121688
          10     1.64079     1.67002   0.0113772
