#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.52922    -5.52922           0
           2    -5.45529    -5.49226   0.0261403
           3    -5.47112    -5.48521   0.0183514
           4    -5.44662    -5.47556    0.016101
           5    -5.45974     -5.4724   0.0131881
           6    -5.42665    -5.46477   0.0130093
           7    -5.44664    -5.46218   0.0114059
           8    -5.42952     -5.4581   0.0106859
           9    -5.38395    -5.44986   0.0122701
          10    -5.41924     -5.4468   0.0114188
