#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     1.06772     1.06772           0
           2     1.48798     1.27785    0.148584
           3     1.36215     1.30595    0.101679
           4     1.42286     1.33518     0.08035
           5      1.2924     1.32662   0.0647339
           6     1.57786     1.36849    0.066115
           7     1.39831     1.37275   0.0568071
           8     1.50386     1.38914   0.0520164
           9     1.86465     1.44198   0.0679639
          10     1.56057     1.45383   0.0621937
