#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -3.77608    -3.77608           0
           2    -3.77662    -3.77635 0.000192504
           3    -3.77763    -3.77678 0.000371621
           4    -3.77661    -3.77674 0.000280963
           5    -3.77778    -3.77694  0.00029226
           6    -3.77514    -3.77664 0.000366813
           7    -3.77802    -3.77684 0.000363045
           8    -3.77586    -3.77672 0.000337807
           9    -3.77557    -3.77659 0.000323452
          10    -3.77845    -3.77678 0.000340302
