#   N_BLOCK:  ACCEPTANCE:
           1    0.514662
           2    0.513576
           3     0.51162
           4    0.512162
           5     0.51206
           6    0.511823
           7    0.511624
           8    0.511198
           9    0.511452
          10    0.511302
          11    0.511248
          12    0.511235
          13    0.510842
          14    0.510891
          15    0.510969
          16    0.510891
          17    0.510849
          18    0.510789
          19    0.510814
          20    0.510902
