#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.47778    -5.47778           0
           2    -5.47996    -5.47887  0.00076873
           3    -5.46444    -5.47406  0.00395928
           4    -5.48059    -5.47569  0.00328833
           5    -5.46927    -5.47441  0.00287077
           6    -5.47023    -5.47371  0.00247546
           7    -5.46622    -5.47264  0.00234187
           8    -5.44123    -5.46871  0.00420598
           9    -5.48454    -5.47047  0.00408997
          10    -5.46317    -5.46974  0.00374561
          11    -5.46628    -5.46943  0.00341825
          12    -5.47049    -5.46952  0.00313454
          13    -5.44523    -5.46765    0.003405
          14    -5.46402    -5.46739  0.00317162
          15    -5.46896    -5.46749  0.00296191
          16    -5.47061    -5.46769  0.00278318
          17    -5.44947    -5.46662  0.00281824
          18    -5.46036    -5.46627  0.00268302
          19    -5.46691     -5.4663  0.00254202
          20    -5.47717    -5.46685   0.0024723
