#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    0.440995    0.440995           0
           2    0.424784    0.432889  0.00573158
           3    0.553743    0.473174   0.0331133
           4    0.452016    0.467884   0.0252539
           5    0.473941    0.469096   0.0202322
           6    0.463986    0.468244    0.016878
           7    0.500074    0.472791    0.015067
           8    0.622402    0.491493   0.0219051
           9    0.416482    0.483158    0.020997
          10    0.495733    0.484416   0.0189349
          11    0.482095    0.484205   0.0172147
          12    0.501418    0.485639   0.0158398
          13    0.632936     0.49697   0.0182288
          14    0.501424    0.497288   0.0169295
          15     0.47481    0.495789   0.0158671
          16    0.491133    0.495498    0.014878
          17    0.584367    0.500726   0.0148929
          18    0.556667    0.503834   0.0143862
          19    0.498574    0.503557   0.0136317
          20     0.47308    0.502033    0.013035
