#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     2.01958     2.01958           0
           2     1.68627     1.85292    0.117842
           3     1.58447     1.76344    0.107286
           4     1.74544     1.75894   0.0805592
           5     1.67717     1.74259   0.0660863
           6     1.67311     1.73101   0.0560772
           7     1.69699     1.72615   0.0482763
           8     1.68084     1.72048   0.0425727
           9     1.70034     1.71825   0.0379011
          10     1.54984     1.70141   0.0376669
          11     1.62315     1.69429   0.0349079
          12     1.63194      1.6891   0.0323834
          13     1.64187     1.68546   0.0300954
          14     1.64211     1.68237   0.0281046
          15     1.63758     1.67938   0.0263891
          16     1.59116     1.67387   0.0253092
          17     1.63837     1.67178   0.0239064
          18     1.73942     1.67554   0.0228717
          19     1.61317     1.67225   0.0219022
          20     1.60952     1.66912   0.0210305
          21      1.6335     1.66742   0.0200974
          22     1.65836     1.66701   0.0191881
          23      1.6214     1.66503    0.018456
          24     1.55733     1.66054   0.0182244
          25     1.61462      1.6587   0.0175877
          26     1.61781     1.65713   0.0169814
          27     1.67747     1.65788   0.0163692
          28     1.66146     1.65801   0.0157851
          29     1.70399      1.6596   0.0153202
          30     1.65933     1.65959   0.0148095
          31     1.65006     1.65928    0.014335
          32     1.60617     1.65762   0.0139828
          33     1.56243     1.65474   0.0138534
          34     1.65938     1.65487   0.0134466
          35     1.71795     1.65667   0.0131826
          36     1.65139     1.65653   0.0128173
          37     1.71481      1.6581   0.0125673
          38     1.59206     1.65636   0.0123561
          39     1.69151     1.65727   0.0120721
          40     1.63151     1.65662   0.0117875
          41     1.72649     1.65833   0.0116225
          42     1.63276     1.65772   0.0113617
          43     1.66968       1.658   0.0111009
          44     1.62154     1.65717   0.0108795
          45     1.67529     1.65757   0.0106452
          46     1.66001     1.65762   0.0104139
          47     1.65281     1.65752   0.0101928
          48     1.64088     1.65717  0.00998635
          49     1.69922     1.65803  0.00981934
          50     1.71156      1.6591  0.00968114
          51     1.58317     1.65761  0.00960512
          52     1.56998     1.65593   0.0095671
          53      1.6707     1.65621  0.00939064
          54     1.65266     1.65614  0.00921697
          55     1.65595     1.65614  0.00904939
          56     1.61089     1.65533  0.00892379
          57     1.73875     1.65679  0.00888644
          58     1.65667     1.65679  0.00873322
          59     1.62461     1.65625  0.00860222
          60     1.65983     1.65631  0.00845905
          61     1.67682     1.65664  0.00832706
          62     1.64852     1.65651  0.00819378
          63     1.62896     1.65607  0.00807538
          64       1.645      1.6559  0.00795106
          65     1.69363     1.65648   0.0078499
          66     1.59581     1.65556  0.00778459
          67     1.66448     1.65569  0.00766954
          68     1.62123     1.65519  0.00757348
          69     1.59812     1.65436  0.00750874
          70     1.59693     1.65354  0.00744616
          71     1.68262     1.65395  0.00735254
          72     1.63721     1.65372   0.0072541
          73     1.66706      1.6539  0.00715703
          74     1.70658     1.65461  0.00709563
          75     1.69538     1.65516  0.00702182
          76     1.60848     1.65454  0.00695623
          77     1.66906     1.65473  0.00686844
          78      1.6837      1.6551  0.00679042
          79       1.665     1.65523  0.00670562
          80     1.70576     1.65586  0.00665148
          81      1.7152     1.65659  0.00660958
          82     1.65856     1.65662  0.00652902
          83     1.64926     1.65653  0.00645096
          84     1.64473     1.65639  0.00637569
          85     1.62092     1.65597  0.00631432
          86      1.6265     1.65563  0.00625019
          87     1.69955     1.65613   0.0061987
          88     1.63431     1.65588  0.00613322
          89     1.57228     1.65494  0.00613583
          90     1.63098     1.65468  0.00607343
          91     1.69537     1.65512  0.00602312
          92      1.6384     1.65494   0.0059604
          93     1.62242     1.65459  0.00590656
          94      1.6493     1.65454  0.00584399
          95     1.62746     1.65425  0.00578942
          96     1.67742     1.65449  0.00573414
          97     1.68264     1.65478  0.00568236
          98     1.61007     1.65433  0.00564267
          99      1.6782     1.65457  0.00559083
         100     1.64738      1.6545  0.00553538
         101     1.70254     1.65497  0.00550098
         102     1.61196     1.65455  0.00546319
         103     1.73356     1.65532  0.00546374
         104     1.74672      1.6562  0.00548143
         105     1.61307     1.65579  0.00544459
         106     1.63126     1.65555  0.00539814
         107     1.65863     1.65558  0.00534776
         108     1.69105     1.65591  0.00530832
         109     1.65759     1.65593  0.00525964
         110     1.61553     1.65556  0.00522464
         111     1.62883     1.65532  0.00518311
         112     1.65301      1.6553  0.00513688
         113     1.65305     1.65528  0.00509146
         114     1.61606     1.65493   0.0050584
         115     1.62099     1.65464  0.00502302
         116      1.6924     1.65496  0.00499025
         117     1.63782     1.65482  0.00494975
         118     1.68966     1.65511   0.0049166
         119     1.64823     1.65506  0.00487563
         120     1.67556     1.65523  0.00483799
         121     1.58799     1.65467  0.00482981
         122     1.61405     1.65434  0.00480169
         123     1.64165     1.65423  0.00476376
         124     1.71626     1.65473  0.00475153
         125     1.63017     1.65454  0.00471758
         126     1.64473     1.65446  0.00468078
         127     1.58233     1.65389  0.00467826
         128     1.67396     1.65405  0.00464433
         129     1.71268      1.6545  0.00463051
         130     1.70204     1.65487  0.00460931
         131     1.60637      1.6545  0.00458897
         132     1.60986     1.65416  0.00456665
         133     1.66915     1.65427  0.00453371
         134     1.63947     1.65416  0.00450122
         135     1.66864     1.65427  0.00446915
         136     1.66916     1.65438  0.00443763
         137     1.71612     1.65483  0.00442807
         138     1.60173     1.65445  0.00441267
         139     1.68752     1.65468  0.00438733
         140      1.6814     1.65487  0.00436014
         141     1.65353     1.65486  0.00432923
         142      1.6041     1.65451  0.00431347
         143     1.67581     1.65466  0.00428588
         144     1.72206     1.65512   0.0042816
         145     1.65165      1.6551  0.00425214
         146     1.59276     1.65467   0.0042444
         147      1.6478     1.65463  0.00421578
         148     1.69878     1.65492  0.00419784
         149     1.67507     1.65506  0.00417184
         150       1.712     1.65544  0.00416126
         151     1.61856      1.6552  0.00414087
         152     1.62254     1.65498  0.00411919
         153     1.63174     1.65483  0.00409507
         154     1.64735     1.65478  0.00406877
         155     1.70307     1.65509  0.00405443
         156     1.67469     1.65522  0.00403038
         157     1.67378     1.65534  0.00400644
         158     1.63113     1.65518  0.00398402
         159     1.61398     1.65492  0.00396738
         160     1.60322      1.6546  0.00395572
         161     1.59123     1.65421  0.00395069
         162     1.59335     1.65383  0.00394412
         163     1.67457     1.65396  0.00392197
         164       1.663     1.65401  0.00389844
         165     1.64702     1.65397  0.00387505
         166     1.70984     1.65431  0.00386629
         167     1.64014     1.65422  0.00384407
         168     1.59611     1.65388  0.00383672
         169     1.66366     1.65393  0.00381446
         170     1.65462     1.65394  0.00379202
         171     1.69477     1.65418  0.00377735
         172     1.68218     1.65434   0.0037589
         173     1.63728     1.65424  0.00373846
         174      1.6476      1.6542  0.00371717
         175     1.65352      1.6542  0.00369593
         176     1.66624     1.65427  0.00367557
         177     1.57773     1.65384  0.00368015
         178     1.65617     1.65385   0.0036595
         179      1.6456      1.6538  0.00363935
         180     1.65414      1.6538  0.00361913
         181     1.73699     1.65426   0.0036282
         182     1.62517      1.6541  0.00361178
         183     1.61101     1.65387  0.00359972
         184     1.68202     1.65402   0.0035834
         185     1.65834     1.65405  0.00356411
         186     1.65758     1.65406    0.003545
         187     1.63523     1.65396  0.00352747
         188     1.60343     1.65369  0.00351893
         189     1.64845     1.65367  0.00350042
         190     1.71329     1.65398  0.00349604
         191     1.61044     1.65375  0.00348516
         192     1.67663     1.65387  0.00346904
         193     1.69086     1.65406  0.00345636
         194     1.62759     1.65393  0.00344123
         195     1.63257     1.65382  0.00342533
         196     1.63222     1.65371  0.00340962
         197     1.63226      1.6536  0.00339405
         198     1.66437     1.65365  0.00337735
         199     1.66633     1.65372  0.00336098
         200     1.63497     1.65362  0.00334548
