#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.81004    -5.81004           0
           2    -5.47926    -5.64465    0.116947
           3    -5.37304    -5.55411     0.10744
           4    -5.53782    -5.55004   0.0806572
           5    -5.46812    -5.53366   0.0661687
           6    -5.46267    -5.52183   0.0561883
           7    -5.49064    -5.51737   0.0483377
           8      -5.471    -5.51157   0.0426417
           9    -5.48932     -5.5091   0.0379753
          10     -5.3366    -5.49185   0.0378938
          11    -5.41371    -5.48475   0.0351085
          12    -5.42371    -5.47966   0.0325492
          13     -5.4335    -5.47611   0.0302384
          14    -5.43502    -5.47317   0.0282206
          15    -5.42512    -5.46997   0.0265205
          16    -5.38033    -5.46437   0.0254479
          17     -5.4283    -5.46225   0.0240392
          18    -5.53101    -5.46607   0.0230052
          19    -5.40779      -5.463   0.0219979
          20    -5.40347    -5.46002   0.0210984
          21    -5.42788    -5.45849   0.0201492
          22    -5.45508    -5.45834   0.0192339
          23    -5.41469    -5.45644    0.018491
          24    -5.34991      -5.452   0.0182455
          25    -5.40743    -5.45022   0.0176026
          26     -5.4081     -5.4486   0.0169999
          27    -5.46866    -5.44934   0.0163865
          28      -5.451     -5.4494   0.0158014
          29    -5.49355    -5.45092   0.0153297
          30    -5.45043    -5.45091   0.0148187
          31    -5.44028    -5.45056   0.0143447
          32    -5.39646    -5.44887   0.0139957
          33    -5.35304    -5.44597   0.0138695
          34    -5.45333    -5.44619   0.0134633
          35    -5.50992    -5.44801   0.0132012
          36    -5.44228    -5.44785   0.0128355
          37    -5.50598    -5.44942   0.0125844
          38    -5.38475    -5.44772   0.0123677
          39    -5.48481    -5.44867   0.0120871
          40    -5.42552    -5.44809   0.0117988
          41    -5.52258    -5.44991     0.01165
          42    -5.42654    -5.44935   0.0113859
          43    -5.46549    -5.44972   0.0111273
          44    -5.41384    -5.44891   0.0109043
          45    -5.46658     -5.4493    0.010669
          46    -5.44896    -5.44929   0.0104371
          47     -5.4457    -5.44922   0.0102153
          48    -5.43457    -5.44891    0.010007
          49     -5.4928    -5.44981  0.00984281
          50    -5.50372    -5.45089  0.00970483
          51    -5.37027    -5.44931  0.00964242
          52    -5.36133    -5.44761  0.00960427
          53    -5.46487    -5.44794  0.00942858
          54    -5.44122    -5.44782  0.00925479
          55    -5.44358    -5.44774  0.00908685
          56    -5.39829    -5.44686  0.00896737
          57    -5.52771    -5.44827  0.00892154
          58    -5.44883    -5.44828  0.00876772
          59    -5.41363     -5.4477  0.00863876
          60    -5.45152    -5.44776  0.00849502
          61    -5.46589    -5.44806  0.00836095
          62    -5.43987    -5.44793  0.00822714
          63    -5.41923    -5.44747  0.00810916
          64    -5.43694    -5.44731  0.00798412
          65    -5.48753    -5.44792  0.00788523
          66    -5.38859    -5.44703  0.00781683
          67    -5.45796    -5.44719  0.00770186
          68    -5.41267    -5.44668  0.00760531
          69    -5.38809    -5.44583  0.00754235
          70    -5.39203    -5.44506  0.00747366
          71    -5.47139    -5.44543  0.00737759
          72    -5.42591    -5.44516   0.0072801
