#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.34639     1.34639           0
           2     1.12418     1.23528   0.0785617
           3     1.05631     1.17563   0.0715243
           4     1.16363     1.17263   0.0537061
           5     1.11812     1.16172   0.0440575
           6     1.11541       1.154   0.0373848
           7     1.13133     1.15076   0.0321842
           8     1.12056     1.14699   0.0283818
           9     1.13356      1.1455   0.0252674
          10     1.03323     1.13427   0.0251113
          11      1.0821     1.12953    0.023272
          12     1.08796     1.12606   0.0215889
          13     1.09458     1.12364   0.0200636
          14     1.09474     1.12158   0.0187364
          15     1.09172     1.11959   0.0175927
          16     1.06077     1.11591   0.0168728
          17     1.09224     1.11452   0.0159376
          18     1.15961     1.11702   0.0152478
          19     1.07545     1.11484   0.0146015
          20     1.07301     1.11274   0.0140204
          21       1.089     1.11161   0.0133983
          22     1.10558     1.11134   0.0127921
          23     1.08094     1.11002    0.012304
          24     1.03822     1.10703   0.0121496
          25     1.07641      1.1058   0.0117252
          26     1.07854     1.10475    0.011321
          27     1.11831     1.10526   0.0109128
          28     1.10764     1.10534   0.0105234
          29       1.136      1.1064   0.0102135
          30     1.10622     1.10639  0.00987303
          31     1.10004     1.10619  0.00955667
          32     1.07078     1.10508  0.00932185
          33     1.04162     1.10316  0.00923558
          34     1.10625     1.10325  0.00896439
          35      1.1453     1.10445  0.00878843
          36     1.10093     1.10435  0.00854485
          37      1.1432      1.1054  0.00837818
          38     1.06137     1.10424  0.00823743
          39     1.12767     1.10484  0.00804809
          40     1.08768     1.10441  0.00785832
          41     1.15099     1.10555  0.00774833
          42     1.08851     1.10514  0.00757447
          43     1.11312     1.10533  0.00740059
          44     1.08103     1.10478  0.00725298
          45     1.11686     1.10505  0.00709677
          46     1.10667     1.10508  0.00694258
          47     1.10187     1.10501   0.0067952
          48     1.09392     1.10478  0.00665757
          49     1.13281     1.10535  0.00654623
          50     1.14104     1.10607  0.00645409
          51     1.05545     1.10508  0.00640341
          52     1.04666     1.10395  0.00637806
          53      1.1138     1.10414  0.00626043
          54     1.10177     1.10409  0.00614465
          55     1.10397     1.10409  0.00603293
          56     1.07393     1.10355  0.00594919
          57     1.15917     1.10453  0.00592429
          58     1.10445     1.10453  0.00582215
          59     1.08308     1.10416  0.00573481
          60     1.10655      1.1042  0.00563937
          61     1.11788     1.10443  0.00555137
          62     1.09901     1.10434  0.00546252
          63     1.08598     1.10405  0.00538359
          64     1.09666     1.10393  0.00530071
          65     1.12909     1.10432  0.00523327
          66     1.06388     1.10371  0.00518973
          67     1.10965      1.1038  0.00511303
          68     1.08082     1.10346  0.00504899
          69     1.06542     1.10291  0.00500583
          70     1.06462     1.10236  0.00496411
          71     1.12175     1.10263   0.0049017
          72     1.09147     1.10248  0.00483607
          73     1.11138      1.1026  0.00477136
          74     1.13772     1.10307  0.00473042
          75     1.13026     1.10344  0.00468121
          76     1.07232     1.10303  0.00463749
          77      1.1127     1.10315  0.00457896
          78     1.12247      1.1034  0.00452695
          79        1.11     1.10348  0.00447041
          80     1.13717     1.10391  0.00443432
          81     1.14346     1.10439  0.00440639
          82     1.10571     1.10441  0.00435268
          83     1.09951     1.10435  0.00430064
          84     1.09649     1.10426  0.00425046
          85     1.08061     1.10398  0.00420955
          86     1.08433     1.10375  0.00416679
          87     1.13303     1.10409  0.00413247
          88     1.08954     1.10392  0.00408881
          89     1.04818      1.1033  0.00409055
