#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -3.79046    -3.79046           0
           2    -3.79299    -3.79173 0.000895018
           3    -3.78857    -3.79067  0.00104649
           4    -3.79238     -3.7911 0.000866956
           5    -3.79095    -3.79107 0.000694082
           6    -3.78956    -3.79082  0.00062221
           7    -3.79365    -3.79122 0.000651343
           8    -3.79016    -3.79109  0.00058331
           9    -3.78898    -3.79086 0.000563737
          10    -3.78675    -3.79044 0.000639425
          11    -3.79055    -3.79045 0.000581373
          12    -3.79177    -3.79056 0.000543161
          13    -3.79163    -3.79065 0.000507534
          14    -3.79291    -3.79081 0.000496305
          15    -3.78754    -3.79059 0.000508866
          16    -3.78917     -3.7905 0.000484775
          17    -3.78993    -3.79047 0.000457405
          18    -3.79159    -3.79053 0.000436185
          19    -3.79462    -3.79075 0.000463326
          20    -3.79395    -3.79091 0.000467036
          21    -3.79438    -3.79107 0.000473244
          22    -3.79672    -3.79133 0.000516624
          23    -3.79329    -3.79141  0.00050115
          24    -3.79259    -3.79146 0.000482644
          25    -3.79281    -3.79152 0.000466363
          26    -3.79029    -3.79147 0.000450815
          27    -3.79119    -3.79146 0.000434235
          28    -3.78954    -3.79139 0.000424104
          29    -3.78956    -3.79133  0.00041417
          30     -3.7911    -3.79132  0.00040043
          31    -3.79022    -3.79128 0.000389065
          32    -3.79029    -3.79125 0.000378145
          33    -3.79061    -3.79123 0.000367186
          34    -3.79395    -3.79131 0.000365009
          35    -3.79196    -3.79133 0.000355048
          36    -3.79089    -3.79132 0.000345398
          37    -3.79118    -3.79132 0.000336084
          38    -3.79269    -3.79135 0.000329191
          39     -3.7933     -3.7914 0.000324508
          40      -3.794    -3.79147 0.000322854
          41    -3.79609    -3.79158 0.000334092
          42    -3.79378    -3.79163 0.000330228
          43    -3.79581    -3.79173 0.000336531
          44    -3.79231    -3.79174 0.000329139
          45    -3.79128    -3.79173 0.000321982
          46    -3.78895    -3.79167 0.000320628
          47     -3.7929     -3.7917 0.000314864
          48     -3.7937    -3.79174 0.000311053
          49    -3.79358    -3.79178 0.000306972
          50    -3.79216    -3.79178  0.00030093
          51     -3.7871    -3.79169 0.000308728
          52    -3.79135    -3.79169 0.000302863
          53    -3.79418    -3.79173  0.00030078
          54    -3.78856    -3.79167 0.000300907
          55    -3.78762     -3.7916 0.000304314
          56    -3.78741    -3.79153 0.000307964
          57    -3.78896    -3.79148 0.000305838
          58    -3.79217    -3.79149 0.000300794
          59    -3.78902    -3.79145 0.000298601
          60    -3.79169    -3.79145  0.00029365
          61    -3.78907    -3.79142 0.000291422
          62    -3.79135    -3.79141 0.000286724
          63    -3.79026     -3.7914 0.000282757
          64    -3.79195     -3.7914 0.000278471
          65     -3.7939    -3.79144 0.000276811
          66    -3.79278    -3.79146  0.00027336
          67    -3.79348    -3.79149 0.000270934
          68    -3.79144    -3.79149  0.00026695
          69    -3.78996    -3.79147 0.000263999
          70     -3.7951    -3.79152  0.00026527
          71    -3.78877    -3.79148 0.000264347
          72     -3.7887    -3.79145 0.000263478
          73    -3.79201    -3.79145 0.000259982
          74    -3.78923    -3.79142 0.000258198
          75    -3.78958     -3.7914 0.000255922
          76    -3.79179     -3.7914 0.000252606
          77    -3.79008    -3.79139 0.000249911
          78    -3.78964    -3.79136  0.00024771
          79    -3.79242    -3.79138 0.000244934
          80    -3.79011    -3.79136 0.000242387
          81    -3.79491    -3.79141 0.000243321
          82    -3.79063     -3.7914 0.000240538
          83     -3.7934    -3.79142 0.000238845
          84    -3.79197    -3.79143 0.000236093
          85     -3.7919    -3.79143  0.00023338
          86    -3.79133    -3.79143 0.000230669
          87    -3.79176    -3.79143 0.000228049
          88    -3.79139    -3.79143 0.000225458
          89    -3.78829     -3.7914 0.000225678
          90    -3.78957    -3.79138 0.000224087
          91    -3.79208    -3.79139 0.000221756
          92     -3.7885    -3.79135 0.000221558
          93    -3.78886    -3.79133 0.000220791
          94    -3.79183    -3.79133 0.000218506
          95     -3.7922    -3.79134 0.000216395
          96    -3.79223    -3.79135 0.000214337
          97    -3.79214    -3.79136  0.00021228
          98    -3.79061    -3.79135 0.000210253
          99    -3.79296    -3.79137 0.000208753
         100    -3.79099    -3.79136 0.000206699
         101    -3.78991    -3.79135 0.000205156
         102    -3.78839    -3.79132 0.000205193
         103     -3.7957    -3.79136 0.000207556
         104    -3.79279    -3.79138 0.000206013
         105    -3.79274    -3.79139 0.000204457
         106    -3.78733    -3.79135 0.000206082
         107    -3.79055    -3.79134 0.000204294
         108    -3.79255    -3.79136 0.000202706
         109    -3.78869    -3.79133 0.000202316
         110     -3.7909    -3.79133 0.000200515
         111    -3.79284    -3.79134 0.000199169
         112     -3.7933    -3.79136 0.000198158
         113    -3.79388    -3.79138  0.00019766
         114    -3.79153    -3.79138 0.000195931
         115     -3.7878    -3.79135 0.000196692
         116    -3.79415    -3.79137 0.000196467
         117    -3.79039    -3.79137 0.000194969
         118    -3.78985    -3.79135 0.000193739
         119    -3.78874    -3.79133 0.000193355
         120    -3.78704     -3.7913 0.000195016
         121    -3.79057    -3.79129 0.000193496
         122      -3.791    -3.79129 0.000191924
         123    -3.79498    -3.79132 0.000192694
         124    -3.79237    -3.79133 0.000191325
         125    -3.78947    -3.79131 0.000190368
         126    -3.79288    -3.79132 0.000189264
         127    -3.78614    -3.79128  0.00019212
         128    -3.79298     -3.7913 0.000191075
         129    -3.79425    -3.79132 0.000190961
         130    -3.79276    -3.79133 0.000189816
         131    -3.79203    -3.79134 0.000188442
         132    -3.79219    -3.79134 0.000187125
         133    -3.79118    -3.79134 0.000185722
         134    -3.79618    -3.79138 0.000187812
         135    -3.79632    -3.79141 0.000189951
         136    -3.79402    -3.79143 0.000189518
         137    -3.79353    -3.79145 0.000188754
         138    -3.79416    -3.79147 0.000188409
         139    -3.79269    -3.79148 0.000187259
         140    -3.79225    -3.79148 0.000186003
         141    -3.79009    -3.79147 0.000184945
         142    -3.79171    -3.79147  0.00018365
         143    -3.79505     -3.7915 0.000184058
         144     -3.7923     -3.7915 0.000182865
         145    -3.79024     -3.7915 0.000181813
         146    -3.78853    -3.79147 0.000181701
         147    -3.79063    -3.79147 0.000180555
         148    -3.78693    -3.79144 0.000181926
         149    -3.79565    -3.79147 0.000182887
