#   N_BLOCK:  ACCEPTANCE:
           1    0.510264
           2    0.511269
           3    0.510358
           4    0.510218
           5    0.510543
           6    0.510578
           7    0.510649
           8    0.510599
           9      0.5106
          10    0.510507
          11    0.510572
          12    0.510422
          13    0.510288
          14    0.510089
          15    0.510016
          16    0.510081
          17    0.510131
          18    0.510053
          19    0.510216
          20    0.510088
