#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.63441     1.63441           0
           2     1.64095     1.63768  0.00231521
           3     1.62649     1.63395  0.00341461
           4     1.66693     1.64219  0.00758551
           5     1.63972      1.6417  0.00608452
           6     1.62598     1.63908  0.00560591
           7     1.61522     1.63567  0.00574858
           8     1.63077     1.63506  0.00506254
           9     1.65544     1.63732  0.00498062
          10     1.64799     1.63839   0.0045954
          11     1.64521     1.63901  0.00421923
          12     1.66191     1.64092  0.00427749
          13     1.63789     1.64069  0.00395478
          14     1.66738     1.64259  0.00410624
          15     1.64569      1.6428  0.00383767
          16     1.65411     1.64351  0.00366232
          17     1.64382     1.64352  0.00344694
          18     1.64621     1.64367  0.00325866
          19     1.65766     1.64441  0.00316919
          20     1.63906     1.64414  0.00302198
