#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.44135    -5.44135           0
           2    -5.44862    -5.44498  0.00256976
           3    -5.43301    -5.44099  0.00368178
           4    -5.47497    -5.44949   0.0078584
           5    -5.44642    -5.44887  0.00631066
           6    -5.43344     -5.4463  0.00575938
           7    -5.42235    -5.44288  0.00586535
           8    -5.43598    -5.44202  0.00519515
           9    -5.46203    -5.44424   0.0050717
          10    -5.45464    -5.44528  0.00466989
          11    -5.45152    -5.44585  0.00427964
          12    -5.46977    -5.44784  0.00436255
          13    -5.44496    -5.44762  0.00403261
          14    -5.47331    -5.44945  0.00414117
          15    -5.45203    -5.44963  0.00386865
          16    -5.46179    -5.45039  0.00370081
          17    -5.45032    -5.45038  0.00348312
          18    -5.45332    -5.45055  0.00329344
          19     -5.4636    -5.45123  0.00319096
          20    -5.44653      -5.451  0.00304005
