#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     1.49178     1.49178           0
           2     1.40404     1.44791   0.0310226
           3     1.51322     1.46968   0.0272716
           4     1.42388     1.45823   0.0227302
           5     1.42792     1.45217   0.0189755
           6     1.44583     1.45111   0.0158423
           7     1.56862      1.4679   0.0206381
           8     1.55516     1.47881   0.0207416
           9     1.45575     1.47624   0.0185946
          10     1.39869     1.46849   0.0182812
          11     1.45539      1.4673    0.016658
          12     1.34175     1.45684   0.0182619
          13     1.50635     1.46064   0.0172498
          14     1.39538     1.45598   0.0166357
          15     1.49789     1.45878   0.0157595
          16     1.46769     1.45933   0.0147843
          17     1.48924     1.46109   0.0140189
          18       1.408     1.45814   0.0135468
          19     1.41614     1.45593    0.013013
          20     1.41341     1.45381   0.0125348
