#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1      1.0896      1.0896           0
           2     1.09397     1.09179  0.00154347
           3     1.08433      1.0893  0.00227641
           4     1.11129      1.0948  0.00505701
           5     1.09315     1.09447  0.00405634
           6     1.08399     1.09272  0.00373727
           7     1.07681     1.09045  0.00383239
           8     1.08718     1.09004  0.00337502
           9     1.10362     1.09155  0.00332041
          10     1.09866     1.09226   0.0030636
          11     1.09681     1.09267  0.00281282
          12     1.10794     1.09395  0.00285166
          13     1.09193     1.09379  0.00263652
          14     1.11159     1.09506  0.00273749
          15     1.09713      1.0952  0.00255845
          16     1.10274     1.09567  0.00244155
          17     1.09588     1.09568  0.00229796
          18     1.09747     1.09578  0.00217244
          19     1.10511     1.09627  0.00211279
          20     1.09271     1.09609  0.00201465
