#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -3.80694    -3.80694           0
           2    -3.80766     -3.8073  0.00025455
           3    -3.80652    -3.80704 0.000272379
           4    -3.80804    -3.80729 0.000298135
           5     -3.8067    -3.80717 0.000261306
           6    -3.80745    -3.80722 0.000221901
           7    -3.80713    -3.80721 0.000190566
           8    -3.80521    -3.80696   0.0002869
           9     -3.8066    -3.80692 0.000257784
          10    -3.80665    -3.80689 0.000233431
          11    -3.80631    -3.80684 0.000218099
          12    -3.80786    -3.80692 0.000215798
          13    -3.80706    -3.80693 0.000199466
          14    -3.80593    -3.80686 0.000197566
          15    -3.80634    -3.80683 0.000187436
          16    -3.80768    -3.80688 0.000183205
          17     -3.8065    -3.80686 0.000173784
          18    -3.80712    -3.80687 0.000164732
          19    -3.80594    -3.80682 0.000163189
          20    -3.80747    -3.80686 0.000158202
